,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
0,TCS, Bangalore / Bengaluru +413 other locations,IT Services & Consulting ,3.6,95.8k," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture, Bangalore / Bengaluru +224 other locations,IT Services & Consulting ,3.8,61.5k,  ," Rated For Promotions / Appraisal, Salary & Benefits"
2,Wipro, Bangalore / Bengaluru +357 other locations,IT Services & Consulting ,3.7,56.2k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant, Hyderabad / Secunderabad +211 other locations,IT Services & Consulting ,3.7,53.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Capgemini, Bangalore / Bengaluru +171 other locations,IT Services & Consulting ,3.7,45k," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank, Mumbai +1688 other locations,Banking ,3.9,42.4k," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
6,Infosys, Bangalore / Bengaluru +227 other locations,IT Services & Consulting ,3.6,42k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank, Mumbai +1391 other locations,Banking ,4.0,41k," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
8,HCLTech, Chennai +216 other locations,IT Services & Consulting ,3.5,38.7k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra, Hyderabad / Secunderabad +318 other locations,IT Services & Consulting ,3.5,37.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact, Hyderabad / Secunderabad +160 other locations,IT Services & Consulting ,3.8,34.8k," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  "," Rated For Promotions / Appraisal, Salary & Benefits"
11,Teleperformance, Mumbai +245 other locations,BPO ,3.9,31.6k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
12,Axis Bank, Mumbai +1412 other locations,Banking ,3.7,27.4k,  ," Rated For Promotions / Appraisal, Work Satisfaction"
13,Concentrix Corporation, Bangalore / Bengaluru +150 other locations,BPO ,3.7,27.9k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
14,Amazon, Bangalore / Bengaluru +497 other locations,Internet ,4.0,26.7k," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
15,Jio, Mumbai +1320 other locations,Telecom ,4.0,24.9k," Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  ", Rated For Promotions / Appraisal
16,Reliance Retail, Mumbai +1086 other locations,Retail ,3.9,23.7k," Highly Rated For Skill Development / Learning, Job Security  ", Rated For Promotions / Appraisal
17,iEnergizer, Noida +44 other locations,BPO ,4.7,24.1k," Highly Rated For Skill Development / Learning, Company Culture, Job Security ",
18,IBM, Bangalore / Bengaluru +245 other locations,IT Services & Consulting ,4.0,23.5k," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
19,LTIMindtree, Bangalore / Bengaluru +133 other locations,IT Services & Consulting ,3.7,22.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits"
20,HDB Financial Services, Mumbai +1028 other locations,NBFC ,3.9,21.8k," Highly Rated For Company Culture, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
