iter	RMSE
0	10876.44128
1	7511.547203
2	5693.80065
3	4988.821001
4	4744.943499
5	4645.359876
6	4557.029546
7	4494.708813
8	4463.234358
9	4455.028733
10	4443.726654
11	4399.327586
12	4365.821337
13	4297.69044
14	4264.017665
15	4263.976053
16	4194.458322
17	4177.216313
18	4135.70864
19	4090.725582
20	4067.633559
21	4039.514759
22	3993.088486
23	3983.702642
24	3946.180894
25	3929.055388
26	3843.937261
27	3835.514275
28	3818.085028
29	3806.003134
30	3800.382936
31	3788.757591
32	3788.062096
33	3757.968587
34	3751.823318
35	3713.923016
36	3709.9536
37	3692.455455
38	3674.679128
39	3657.21264
40	3637.44568
41	3620.113568
42	3616.385626
43	3591.657378
44	3556.364388
45	3508.962069
46	3505.565409
47	3480.047427
48	3440.11867
49	3414.365925
50	3391.495844
51	3356.948321
52	3338.726403
53	3317.572316
54	3281.329282
55	3274.292315
56	3254.79126
57	3231.240298
58	3214.160563
59	3211.041703
60	3196.881405
61	3181.832802
62	3171.770055
63	3158.257526
64	3147.170334
65	3133.664962
66	3105.829273
67	3091.886192
68	3074.685612
69	3054.23674
70	3040.954528
71	3027.566553
72	3021.934705
73	2999.640155
74	2984.928273
75	2963.717097
76	2962.013984
77	2936.231954
78	2926.932121
79	2915.449912
