iter	Passed	Remaining
0	65	5204
1	186	7269
2	255	6561
3	315	6000
4	389	5840
5	506	6249
6	612	6386
7	713	6417
8	815	6435
9	923	6466
10	1023	6419
11	1097	6216
12	1207	6224
13	1282	6047
14	1378	5972
15	1482	5930
16	1584	5871
17	1671	5757
18	1779	5711
19	1876	5628
20	1979	5562
21	2081	5488
22	2193	5436
23	2297	5359
24	2404	5289
25	2523	5241
26	2631	5165
27	2737	5083
28	2848	5009
29	2957	4928
30	3072	4856
31	3176	4764
32	3270	4658
33	3362	4549
34	3452	4439
35	3544	4332
36	3653	4245
37	3758	4154
38	3867	4065
39	3962	3962
40	4078	3879
41	4185	3786
42	4289	3690
43	4411	3609
44	4564	3549
45	4690	3466
46	4790	3363
47	4900	3267
48	5034	3185
49	5186	3111
50	5290	3008
51	5382	2898
52	5476	2789
53	5566	2679
54	5655	2570
55	5750	2464
56	5863	2366
57	6000	2276
58	6126	2180
59	6335	2111
60	6537	2036
61	6722	1951
62	6827	1842
63	6934	1733
64	7035	1623
65	7126	1511
66	7220	1401
67	7326	1292
68	7417	1182
69	7512	1073
70	7605	964
71	7719	857
72	7807	748
73	7901	640
74	7994	532
75	8090	425
76	8190	319
77	8283	212
78	8379	106
79	8488	0
