iter	RMSE
0	11587.32427
1	11247.04586
2	10893.3551
3	10556.16293
4	10234.86787
5	9929.364239
6	9637.738856
7	9360.98827
8	9097.591569
9	8847.242218
10	8610.097983
11	8403.734269
12	8187.337926
13	7983.785227
14	7807.399395
15	7642.509365
16	7467.751711
17	7296.812416
18	7139.611877
19	6989.630104
20	6849.990592
21	6716.219319
22	6590.851256
23	6476.831975
24	6360.359028
25	6246.448659
26	6153.45783
27	6054.607003
28	5962.398714
29	5875.469478
30	5795.556465
31	5716.465345
32	5647.616073
33	5578.571724
34	5522.474017
35	5469.923462
36	5414.382431
37	5362.273888
38	5316.207229
39	5269.760584
40	5226.158516
41	5191.166893
42	5159.601057
43	5116.578296
44	5089.610748
45	5058.228303
46	5028.935203
47	5005.081542
48	4984.742772
49	4953.911729
50	4936.487896
51	4911.061264
52	4896.068218
53	4877.117972
54	4862.128317
55	4840.863616
56	4818.84798
57	4808.149593
58	4789.440347
59	4769.256511
60	4756.9883
61	4743.15398
62	4729.428732
63	4716.551124
64	4709.491461
65	4698.473402
66	4694.440334
67	4683.432638
68	4679.981302
69	4672.107539
70	4666.790284
71	4659.763055
72	4655.053223
73	4646.227313
74	4638.738391
75	4631.23178
76	4626.156752
77	4620.655933
78	4615.548542
79	4609.942477
80	4607.838834
81	4602.653596
82	4596.942704
83	4592.598769
84	4591.02585
85	4587.994789
86	4584.229447
87	4579.971037
88	4577.338488
89	4574.733502
90	4569.714892
91	4564.538342
92	4562.429705
93	4560.301417
94	4557.456343
95	4554.785147
96	4551.589502
97	4549.574362
98	4549.220116
99	4547.659971
100	4547.110059
101	4536.388096
102	4534.799056
103	4530.373566
104	4528.905401
105	4528.498186
106	4523.099915
107	4522.919219
108	4521.511073
109	4521.198233
110	4519.912357
111	4518.587357
112	4511.390162
113	4510.243868
114	4508.774243
115	4508.672996
116	4508.579813
117	4508.381979
118	4500.555035
119	4499.629519
120	4498.594894
121	4491.064361
122	4489.913517
123	4489.773052
124	4489.709958
125	4488.940825
126	4488.885607
127	4488.151729
128	4487.771097
129	4486.915677
130	4486.24462
131	4485.471479
132	4485.434354
133	4484.671103
134	4483.944432
135	4483.250943
136	4483.169613
137	4482.334025
138	4481.814532
139	4481.789549
140	4481.116229
141	4480.475489
142	4480.367622
143	4479.79599
144	4473.569965
145	4473.128402
146	4472.752696
147	4472.516901
148	4470.105388
149	4470.090402
150	4469.612738
151	4469.177636
152	4465.439409
153	4458.600533
154	4452.964942
155	4452.616121
156	4452.282105
157	4451.961391
158	4451.951072
159	4451.644523
160	4449.590356
161	4449.581108
162	4449.57229
163	4449.278912
164	4448.997777
165	4448.606481
166	4439.878446
167	4439.00776
168	4438.710019
169	4438.469612
170	4438.23674
171	4438.015716
172	4437.804169
173	4437.600807
174	4437.406278
175	4435.066951
176	4434.880295
177	4434.701184
178	4434.497248
179	4434.332582
180	4434.144169
181	4433.991792
182	4433.987692
183	4433.842648
184	4433.839195
185	4433.700406
186	4433.017623
187	4432.860674
188	4432.585838
189	4430.514843
190	4425.805827
191	4425.687762
192	4425.685167
193	4417.113987
194	4417.001106
195	4416.998939
196	4416.996772
197	4416.888655
198	4416.785302
199	4416.685847
200	4416.684113
201	4416.58899
202	4416.587473
203	4416.585956
204	4416.494514
205	4416.40697
206	4416.254632
207	4416.253115
208	4416.252248
209	4416.171851
210	4410.399808
211	4410.322342
212	4410.321691
213	4410.247696
214	4403.729288
215	4403.728419
216	4403.657355
217	4397.288055
218	4397.219716
219	4397.153989
220	4397.091089
221	4397.000765
222	4397.000112
223	4396.942217
224	4396.941999
225	4396.941346
226	4396.886062
227	4396.885627
228	4396.885191
229	4396.80444
230	4396.804223
231	4396.753725
232	4396.705186
233	4392.85126
234	4392.806817
235	4392.806599
236	4392.592875
237	4392.592221
238	4392.592003
239	4392.591786
240	4392.591568
241	4392.550826
242	4392.55039
243	4392.55039
244	4392.511391
245	4392.510955
246	4392.510955
247	4392.510955
248	4392.51052
249	4392.510302
250	4392.386112
251	4392.216381
252	4392.098938
253	4392.098938
254	4392.09872
255	4392.098503
256	4391.387677
257	4391.387677
258	4391.387459
259	4391.356513
260	4391.356295
261	4391.356513
262	4391.356295
263	4391.356295
264	4391.326656
265	4391.326656
266	4391.326656
267	4391.326438
268	4391.298107
269	4391.298107
270	4391.298107
271	4391.298107
272	4391.297889
273	4391.297889
274	4388.182083
275	4388.181865
276	4388.181865
277	4380.042036
278	4380.014069
279	4380.013851
280	4380.013851
281	4380.013851
282	4378.174614
283	4378.174395
284	4378.174614
285	4378.14729
286	4378.12106
287	4378.12106
288	4378.095922
289	4377.998211
290	4372.016639
291	4371.993437
292	4371.971328
293	4371.172283
294	4369.276976
295	4369.23755
296	4367.109341
297	4367.109341
298	4363.487423
299	4363.487423
300	4363.487423
301	4363.487642
302	4363.487423
303	4360.720235
304	4360.720016
305	4360.697411
306	4356.05133
307	4355.977292
308	4355.977292
309	4354.078448
310	4354.071415
311	4354.071634
312	4354.071415
313	4354.071854
314	4354.049875
315	4354.049875
316	4354.029653
317	4354.029433
318	4354.029433
319	4353.550026
320	4352.480457
321	4347.52227
322	4344.885884
323	4344.885884
324	4344.885884
325	4344.885884
326	4344.885664
327	4342.734943
328	4342.734943
329	4339.395932
330	4339.395932
331	4339.395711
332	4339.395491
333	4339.395711
334	4339.395711
335	4339.395491
336	4336.833165
337	4336.832944
338	4336.832944
339	4336.832944
340	4336.832944
341	4336.832944
342	4336.832944
343	4332.43342
344	4332.43342
345	4332.43364
346	4332.397414
347	4332.397193
348	4330.797168
349	4330.044895
350	4330.009753
351	4329.425785
352	4329.425785
353	4329.425785
354	4324.301742
355	4324.301963
356	4324.086624
357	4324.086624
358	4321.96851
359	4311.505057
360	4308.27579
361	4308.27579
362	4308.275568
363	4308.220479
364	4308.220257
365	4302.680853
366	4296.799786
367	4296.799786
368	4296.799564
369	4296.799564
370	4296.74455
371	4296.744773
372	4296.430268
373	4296.430045
374	4290.897947
375	4290.897724
376	4290.897724
377	4290.897501
378	4290.872521
379	4290.872298
380	4290.872521
381	4290.872521
382	4290.872298
383	4289.841312
384	4289.841089
385	4288.77259
386	4286.013433
387	4286.012986
388	4286.01321
389	4284.477616
390	4284.477616
391	4284.249552
392	4277.538249
393	4271.692467
394	4271.588961
395	4271.588737
396	4265.6316
397	4265.631376
398	4265.6316
399	4264.833276
400	4264.782113
401	4264.713223
402	4264.485449
403	4264.485449
404	4264.485224
405	4263.011469
406	4263.011469
407	4262.297975
408	4259.366864
409	4258.374771
410	4258.374771
411	4258.170482
412	4258.156098
413	4258.156098
414	4256.552898
415	4256.552448
416	4253.034396
417	4246.651246
418	4246.646739
419	4245.156646
420	4245.15642
421	4245.109304
422	4245.094425
423	4245.05069
424	4245.05069
425	4245.05069
426	4245.003121
427	4244.547024
428	4244.547024
429	4244.546799
430	4244.501479
431	4244.501254
432	4244.069005
433	4244.069005
434	4244.02571
435	4244.02571
436	4244.02571
437	4239.379309
438	4239.379083
439	4236.211857
440	4236.168256
441	4236.029091
442	4236.029317
443	4236.029091
444	4236.028865
445	4235.420189
446	4235.419963
447	4235.419963
448	4235.303595
449	4235.171633
450	4235.129603
451	4231.991986
452	4231.99176
453	4231.99176
454	4231.991534
455	4231.99176
456	4227.533611
457	4226.078673
458	4226.078673
459	4226.078673
460	4226.031797
461	4226.031797
462	4225.94529
463	4225.945063
464	4225.945063
465	4225.945063
466	4225.909962
467	4224.415952
468	4224.415952
469	4224.058453
470	4224.05868
471	4224.045313
472	4224.045086
473	4221.665512
474	4219.578088
475	4219.290493
476	4219.200899
477	4216.725313
478	4216.725313
479	4215.254384
480	4213.815419
481	4213.815192
482	4213.801111
483	4209.717002
484	4209.717002
485	4209.717002
486	4209.566959
487	4209.566959
488	4209.52922
489	4207.561784
490	4205.31102
491	4205.207246
492	4205.207019
493	4205.197688
494	4205.197916
495	4205.197461
496	4205.162641
497	4204.090377
498	4204.090149
499	4203.410596
500	4203.385551
501	4203.385324
502	4203.371435
503	4200.202804
504	4200.128069
505	4199.223626
506	4199.189896
507	4199.175994
508	4197.603617
509	4197.565543
510	4197.565315
511	4197.565543
512	4197.565543
513	4197.565543
514	4197.2981
515	4197.211457
516	4196.887669
517	4196.887669
518	4196.394643
519	4190.885091
520	4188.825737
521	4188.814999
522	4188.804489
523	4188.27121
524	4187.508873
525	4187.476421
526	4184.713365
527	4184.713365
528	4181.639305
529	4181.609782
530	4181.609324
531	4181.126169
532	4181.125712
533	4181.116785
534	4181.110605
535	4181.102136
536	4181.102136
537	4181.094125
538	4181.094125
539	4181.086801
540	4181.079247
541	4181.079018
542	4180.813726
543	4180.813268
544	4176.708587
545	4172.801238
546	4172.794358
547	4172.787936
548	4171.979187
549	4171.973222
550	4171.967029
551	4171.961753
552	4171.956247
553	4170.984893
554	4170.971356
555	4170.970667
556	4168.75226
557	4168.747209
558	4168.742159
559	4168.737567
560	4167.635954
561	4167.614369
562	4167.609776
563	4167.605643
564	4167.554894
565	4167.554894
566	4167.532619
567	4167.528256
568	4166.928867
569	4166.924273
570	4166.920369
571	4166.920369
572	4166.871909
573	4166.845956
574	4166.845726
575	4166.845956
576	4165.95634
577	4164.272831
578	4164.226868
579	4164.222042
580	4164.217905
581	4162.735319
582	4162.728422
583	4162.312513
584	4162.298948
585	4162.298948
586	4162.298948
587	4161.808723
588	4161.808493
589	4161.808263
590	4161.808263
591	4161.801134
592	4161.800904
593	4159.476603
594	4159.46832
595	4159.460037
596	4159.459807
597	4157.296721
598	4156.411968
599	4155.549596
600	4155.546142
601	4153.638155
602	4153.334012
603	4153.328482
604	4151.409333
605	4151.405875
606	4151.402417
607	4151.398728
608	4149.864057
609	4149.864057
610	4149.861059
611	4149.448012
612	4149.448012
613	4146.073136
614	4146.073136
615	4146.073136
616	4146.073136
617	4145.152281
618	4145.149741
619	4142.156989
620	4139.760398
621	4139.488989
622	4138.091902
623	4138.035241
624	4136.554608
625	4136.49862
626	4135.204435
627	4135.183144
628	4132.659082
629	4132.114851
630	4131.01992
631	4131.016908
632	4130.904549
633	4130.881614
634	4128.407543
635	4126.103397
636	4125.608175
637	4125.563405
638	4121.551611
639	4121.096481
640	4120.963647
641	4120.922775
642	4118.651386
643	4118.550076
644	4118.508947
645	4115.810039
646	4115.809574
647	4115.712379
648	4115.604253
649	4115.433106
650	4115.394737
651	4114.355367
652	4114.26186
653	4114.226504
654	4113.914795
655	4111.194015
656	4111.151416
657	4110.84995
658	4109.246804
659	4109.240748
660	4108.992711
661	4108.951719
662	4108.913755
663	4107.732729
664	4107.712227
665	4107.362045
666	4107.072418
667	4106.174979
668	4100.526938
669	4099.882506
670	4099.69016
671	4098.645641
672	4098.555978
673	4097.622342
674	4096.779365
675	4095.770321
676	4095.74345
677	4095.589699
678	4094.681096
679	4094.563767
680	4093.076527
681	4092.212969
682	4092.19005
683	4091.921802
684	4090.790379
685	4090.299538
686	4089.774709
687	4087.912577
688	4087.310643
689	4087.280907
690	4086.853339
691	4086.655931
692	4084.447493
693	4083.181812
694	4082.283107
695	4081.712933
696	4081.519497
697	4080.599084
698	4080.413803
699	4080.391053
700	4079.289746
701	4076.064101
702	4075.740081
703	4075.380342
704	4074.623425
705	4074.454314
706	4074.340631
707	4074.277445
708	4073.352106
709	4070.86282
710	4067.994916
711	4067.806239
712	4065.104037
713	4065.040002
714	4064.721225
715	4064.482479
716	4064.141759
717	4062.990352
718	4062.453985
719	4060.208578
720	4060.184772
721	4059.573069
722	4058.410462
723	4058.093758
724	4056.781167
725	4056.77928
726	4055.735271
727	4054.893499
728	4054.319001
729	4054.250311
730	4054.101832
731	4054.073505
732	4049.986643
733	4049.814377
734	4049.794763
735	4049.651084
736	4048.642112
737	4047.674975
738	4047.569287
739	4047.549899
740	4047.547535
741	4046.504692
742	4046.013919
743	4042.768116
744	4041.955844
745	4040.775379
746	4040.644879
747	4040.078541
748	4039.909406
749	4039.9068
750	4038.932358
751	4038.929752
752	4038.012192
753	4037.988729
754	4037.971427
755	4037.674689
756	4036.545131
757	4036.539204
758	4034.869532
759	4033.387567
760	4033.36384
761	4033.321368
762	4031.993591
763	4031.537846
764	4030.834901
765	4030.084814
766	4029.653315
767	4029.651653
768	4029.585392
769	4029.582304
770	4029.143388
771	4027.461145
772	4026.489158
773	4026.149026
774	4025.350755
775	4022.576497
776	4022.571739
777	4019.640812
778	4019.424626
779	4019.408197
780	4019.392245
781	4019.386054
782	4018.976028
783	4018.776238
784	4017.907191
785	4017.906239
786	4016.997456
787	4014.373577
788	4013.818792
789	4013.814262
790	4012.923392
791	4012.520576
792	4011.712437
793	4011.643972
794	4007.341898
795	4007.325419
796	4006.898157
797	4006.662892
798	4006.645217
799	4006.524115
800	4006.520054
801	4006.516113
802	4005.982218
803	4005.978635
804	4005.531756
805	4005.515868
806	4004.650037
807	4004.626259
808	4004.212332
809	4003.932572
810	4003.929225
811	4003.124133
812	4002.715669
813	4002.71268
814	4002.71005
815	4002.692597
816	4002.683152
817	4002.372321
818	4002.363593
819	4002.361083
820	4002.344943
821	4002.063617
822	4002.061226
823	4002.035759
824	4001.300245
825	4001.247267
826	4000.829163
827	4000.82689
828	4000.824618
829	3999.905375
830	3999.849627
831	3999.58009
832	3998.899527
833	3998.894741
834	3998.358751
835	3997.866975
836	3997.81096
837	3995.153999
838	3994.0589
839	3993.403638
840	3993.400402
841	3992.913888
842	3992.867031
843	3991.617385
844	3989.657867
845	3989.603896
846	3989.399636
847	3989.296363
848	3989.207361
849	3989.204962
850	3989.065938
851	3988.86357
852	3987.46579
853	3987.46363
854	3986.535304
855	3986.390305
856	3981.982119
857	3981.966016
858	3981.579417
859	3981.384962
860	3981.365011
861	3981.361646
862	3980.277419
863	3980.138563
864	3980.13676
865	3980.034088
866	3980.011365
867	3979.692991
868	3979.594757
869	3979.442892
870	3979.162833
871	3979.065067
872	3976.548645
873	3975.931055
874	3975.913123
875	3975.889173
876	3975.872203
877	3975.365007
878	3975.342378
879	3975.322156
880	3975.139071
