iter	Passed	Remaining
0	125	125207
1	157	78772
2	198	65894
3	243	60617
4	324	64599
5	412	68372
6	470	66782
7	536	66584
8	602	66319
9	665	65890
10	726	65326
11	788	64941
12	914	69418
13	992	69899
14	1069	70234
15	1121	68983
16	1179	68199
17	1228	67002
18	1301	67192
19	1364	66857
20	1411	65800
21	1514	67314
22	1601	68049
23	1685	68560
24	1744	68045
25	1813	67918
26	1888	68065
27	1943	67471
28	1992	66715
29	2059	66590
30	2119	66238
31	2206	66756
32	2272	66585
33	2334	66315
34	2370	65370
35	2416	64708
36	2474	64416
37	2547	64485
38	2622	64626
39	2672	64150
40	2729	63849
41	2826	64465
42	2874	63976
43	2962	64359
44	3024	64190
45	3077	63830
46	3145	63783
47	3186	63199
48	3253	63147
49	3384	64314
50	3425	63733
51	3487	63576
52	3539	63244
53	3582	62767
54	3647	62673
55	3710	62548
56	3769	62364
57	3803	61772
58	3847	61358
59	3904	61173
60	3967	61079
61	4028	60953
62	4095	60917
63	4171	61003
64	4239	60985
65	4306	60948
66	4354	60641
67	4471	61292
68	4521	61012
69	4580	60860
70	4640	60720
71	4680	60325
72	4727	60031
73	4786	59900
74	4853	59856
75	4898	59551
76	4955	59396
77	5014	59273
78	5055	58937
79	5101	58672
80	5133	58242
81	5174	57928
82	5229	57773
83	5279	57577
84	5323	57305
85	5375	57128
86	5411	56789
87	5476	56755
88	5541	56719
89	5589	56512
90	5638	56319
91	5721	56466
92	5784	56411
93	5835	56243
94	5916	56362
95	6004	56540
96	6085	56654
97	6149	56603
98	6203	56459
99	6271	56444
100	6317	56228
101	6397	56322
102	6471	56356
103	6540	56347
104	6590	56172
105	6630	55923
106	6702	55939
107	6738	55651
108	6791	55513
109	6831	55272
110	6881	55116
111	6947	55081
112	7028	55170
113	7089	55097
114	7136	54921
115	7172	54661
116	7216	54461
117	7251	54200
118	7313	54144
119	7365	54011
120	7420	53904
121	7484	53862
122	7560	53908
123	7611	53771
124	7643	53505
125	7688	53330
126	7724	53100
127	7777	52983
128	7840	52935
129	7904	52901
130	7961	52814
131	8057	52986
132	8107	52854
133	8199	52992
134	8250	52861
135	8301	52739
136	8362	52679
137	8413	52556
138	8457	52389
139	8490	52153
140	8541	52037
141	8596	51941
142	8631	51730
143	8682	51614
144	8747	51578
145	8792	51427
146	8843	51315
147	8903	51257
148	8976	51265
149	9003	51019
150	9048	50876
151	9094	50740
152	9165	50737
153	9230	50708
154	9294	50668
155	9336	50513
156	9380	50370
157	9417	50188
158	9448	49978
159	9486	49805
160	9581	49931
161	9624	49788
162	9662	49618
163	9712	49511
164	9779	49491
165	9863	49553
166	9951	49636
167	10000	49525
168	10049	49412
169	10089	49260
170	10134	49129
171	10172	48971
172	10208	48798
173	10248	48649
174	10286	48491
175	10362	48513
176	10405	48383
177	10449	48254
178	10525	48277
179	10575	48179
180	10627	48086
181	10690	48049
182	10726	47887
183	10771	47770
184	10816	47651
185	10859	47523
186	10932	47530
187	10987	47456
188	11044	47393
189	11133	47464
190	11315	47927
191	11401	47979
192	11446	47861
193	11565	48051
194	11631	48015
195	11687	47944
196	11718	47765
197	11759	47632
198	11799	47492
199	11833	47334
200	11865	47167
201	11913	47063
202	11940	46880
203	11968	46701
204	12017	46602
205	12055	46464
206	12109	46391
207	12137	46216
208	12165	46041
209	12200	45898
210	12265	45865
211	12301	45724
212	12335	45579
213	12385	45492
214	12468	45523
215	12496	45358
216	12535	45230
217	12592	45172
218	12630	45041
219	12662	44892
220	12702	44774
221	12741	44653
222	12768	44487
223	12816	44398
224	12846	44250
225	12874	44093
226	12939	44061
227	12982	43957
228	13014	43817
229	13061	43727
230	13095	43596
231	13143	43507
232	13196	43439
233	13262	43416
234	13300	43297
235	13333	43163
236	13395	43126
237	13424	42979
238	13453	42838
239	13483	42697
240	13512	42556
241	13556	42460
242	13587	42326
243	13618	42194
244	13657	42088
245	13687	41951
246	13716	41815
247	13750	41695
248	13780	41562
249	13811	41434
250	13866	41378
251	13936	41367
252	14034	41438
253	14099	41410
254	14123	41262
255	14148	41117
256	14200	41053
257	14230	40926
258	14259	40796
259	14317	40749
260	14359	40657
261	14395	40549
262	14439	40464
263	14475	40354
264	14511	40249
265	14539	40120
266	14566	39990
267	14598	39872
268	14653	39820
269	14689	39716
270	14729	39622
271	14774	39542
272	14815	39453
273	14868	39395
274	14963	39449
275	15007	39367
276	15040	39256
277	15111	39247
278	15160	39179
279	15189	39059
280	15223	38951
281	15259	38852
282	15349	38890
283	15385	38789
284	15420	38686
285	15471	38625
286	15545	38619
287	15586	38533
288	15647	38495
289	15720	38487
290	15806	38510
291	15859	38453
292	15915	38402
293	15993	38405
294	16053	38364
295	16099	38291
296	16167	38268
297	16195	38151
298	16262	38127
299	16299	38033
300	16341	37949
301	16394	37891
302	16451	37843
303	16532	37850
304	16563	37743
305	16643	37746
306	16711	37724
307	16765	37668
308	16795	37559
309	16862	37533
310	16941	37533
311	16968	37418
312	16995	37302
313	17027	37200
314	17072	37126
315	17100	37015
316	17146	36942
317	17175	36835
318	17208	36736
