iter	RMSE
0	6225.186133
1	5037.272724
2	4792.030785
3	4624.927517
4	4587.769071
5	4576.915724
6	4514.710644
7	4451.555922
8	4445.58195
9	4378.944763
10	4353.961314
11	4322.0458
12	4285.165442
13	4246.042844
14	4214.53883
15	4198.287902
16	4195.598407
17	4181.562111
18	4138.604425
19	4135.74926
20	4064.477662
21	4050.415396
22	4042.438895
23	4033.616988
24	4013.830503
25	3997.253226
26	3934.776743
27	3928.253546
28	3901.9992
29	3894.945877
30	3874.55759
31	3857.348813
32	3834.531799
33	3815.271262
34	3804.507955
35	3757.816622
36	3735.535324
37	3720.857676
38	3676.324325
39	3646.470159
40	3595.587457
41	3572.18154
42	3548.054368
43	3490.14691
44	3474.970267
45	3452.022217
46	3423.155915
47	3409.114788
48	3352.075798
49	3326.778299
50	3309.047235
51	3303.190599
52	3277.201865
53	3238.599999
54	3221.025084
55	3215.915303
56	3195.91839
57	3181.624376
58	3169.388209
59	3165.852977
60	3118.091982
61	3100.463937
62	3086.628193
63	3082.123694
64	3079.203769
65	3059.624207
66	3048.249357
67	3017.895324
68	3015.852765
69	3009.865609
70	2967.290605
71	2956.879168
72	2935.16992
73	2900.613347
74	2894.848637
75	2890.727516
76	2876.619086
77	2846.501476
78	2839.029436
79	2823.490901
80	2816.024968
81	2794.347797
82	2761.138053
83	2745.888705
84	2736.294722
85	2722.044908
86	2697.934262
87	2687.127709
88	2675.966497
89	2661.941575
90	2653.095689
91	2641.527541
92	2635.886115
93	2625.852237
94	2616.060262
95	2611.028543
96	2599.008868
97	2571.527386
98	2566.422077
99	2551.54413
