iter	Passed	Remaining
0	47	4690
1	162	7969
2	230	7448
3	355	8538
4	447	8498
5	526	8245
6	622	8266
7	709	8157
8	769	7780
9	879	7917
10	979	7921
11	1068	7835
12	1155	7730
13	1255	7713
14	1360	7709
15	1453	7629
16	1540	7519
17	1624	7402
18	1713	7306
19	1807	7231
20	1894	7125
21	1992	7062
22	2082	6973
23	2190	6936
24	2298	6894
25	2397	6822
26	2492	6739
27	2579	6632
28	2681	6565
29	2781	6491
30	2970	6611
31	3065	6513
32	3163	6422
33	3254	6318
34	3348	6218
35	3442	6119
36	3533	6016
37	3627	5918
38	3713	5807
39	3803	5704
40	3898	5610
41	3987	5506
42	4084	5414
43	4219	5369
44	4338	5302
45	4462	5238
46	4591	5178
47	4680	5070
48	4771	4965
49	4860	4860
50	4964	4769
51	5061	4672
52	5150	4567
53	5249	4471
54	5335	4365
55	5428	4265
56	5538	4178
57	5634	4080
58	5732	3983
59	5819	3879
60	5912	3779
61	6002	3679
62	6096	3580
63	6195	3484
64	6287	3385
65	6372	3283
66	6460	3182
67	6561	3087
68	6617	2973
69	6704	2873
70	6806	2780
71	6908	2686
72	7002	2589
73	7097	2493
74	7186	2395
75	7278	2298
76	7370	2201
77	7473	2108
78	7587	2016
79	7689	1922
80	7786	1826
81	7875	1728
82	7961	1630
83	8059	1535
84	8154	1438
85	8252	1343
86	8346	1247
87	8442	1151
88	8532	1054
89	8625	958
90	8721	862
91	8816	766
92	8907	670
93	8998	574
94	9093	478
95	9184	382
96	9274	286
97	9360	191
98	9446	95
99	9540	0
