iter	RMSE
0	11879.79329
1	11794.11208
2	11703.37209
3	11615.27318
4	11530.35957
5	11450.89209
6	11366.70546
7	11286.32372
8	11205.17385
9	11128.55758
10	11050.94417
11	10969.77875
12	10891.86954
13	10816.07205
14	10741.31775
15	10664.45275
16	10587.2036
17	10510.09587
18	10441.81841
19	10370.27122
20	10298.15825
21	10229.1795
22	10158.30928
23	10090.56536
24	10024.41463
25	9955.132556
26	9890.531683
27	9826.099903
28	9760.19792
29	9697.491825
30	9631.306794
31	9565.888077
32	9508.005089
33	9446.480927
34	9386.085151
35	9326.153615
36	9263.522046
37	9204.773261
38	9143.838787
39	9083.762877
40	9025.162577
41	8969.964539
42	8911.874155
43	8861.2717
44	8811.792944
45	8755.172913
46	8700.154536
47	8647.326848
48	8592.227523
49	8541.277822
50	8492.894289
51	8444.51411
52	8396.391238
53	8345.708187
54	8296.64862
55	8252.240078
56	8202.759379
57	8153.949246
58	8108.734684
59	8060.744901
60	8017.121946
61	7970.369169
62	7925.484145
63	7879.681854
64	7834.605894
65	7790.131877
66	7747.739413
67	7705.425151
68	7664.284615
69	7622.551983
70	7579.37381
71	7541.180492
72	7500.580756
73	7459.437976
74	7418.350048
75	7383.204316
76	7348.015051
77	7311.492184
78	7275.698682
79	7240.877578
80	7202.745904
81	7167.855175
82	7133.657418
83	7100.781653
84	7067.163919
85	7030.205807
86	6994.32395
87	6960.831708
88	6928.736921
89	6896.540127
90	6863.858235
91	6833.964878
92	6806.052089
93	6779.480721
94	6752.890948
95	6719.997785
96	6690.054063
97	6661.624453
98	6634.450402
99	6606.124844
