iter	Passed	Remaining
0	42	4216
1	146	7194
2	217	7025
3	275	6616
4	349	6638
5	446	6999
6	521	6925
7	608	6995
8	702	7105
9	790	7115
10	848	6865
11	951	6980
12	1033	6916
13	1131	6948
14	1191	6750
15	1278	6710
16	1366	6671
17	1461	6659
18	1511	6445
19	1574	6296
20	1676	6305
21	1774	6291
22	1889	6326
23	1953	6185
24	2028	6085
25	2150	6121
26	2200	5949
27	2334	6003
28	2416	5915
29	2523	5888
30	2606	5802
31	2691	5719
32	2740	5563
33	2874	5579
34	3004	5578
35	3087	5488
36	3223	5488
37	3356	5476
38	3468	5425
39	3553	5330
40	3644	5244
41	3731	5152
42	3818	5061
43	3917	4985
44	4034	4930
45	4112	4827
46	4205	4742
47	4298	4656
48	4360	4538
49	4456	4456
50	4516	4339
51	4560	4209
52	4618	4096
53	4713	4015
54	4776	3908
55	4870	3826
56	4939	3726
57	5028	3641
58	5118	3556
59	5219	3479
60	5281	3376
61	5377	3295
62	5473	3214
63	5573	3135
64	5666	3051
65	5757	2965
66	5851	2882
67	5948	2799
68	6035	2711
69	6124	2624
70	6183	2525
71	6248	2430
72	6337	2343
73	6424	2257
74	6518	2172
75	6583	2078
76	6656	1988
77	6709	1892
78	6784	1803
79	6876	1719
80	6987	1639
81	7094	1557
82	7199	1474
83	7329	1396
84	7465	1317
85	7580	1234
86	7677	1147
87	7757	1057
88	7849	970
89	7937	881
90	8025	793
91	8129	706
92	8173	615
93	8231	525
94	8275	435
95	8335	347
96	8409	260
97	8498	173
98	8542	86
99	8641	0
