,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
0,TCS,IT Services & Consulting ,3.6,95.8k," Job Security, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +413 other locations
1,Accenture,IT Services & Consulting ,3.8,61.5k,  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +224 other locations
2,Wipro,IT Services & Consulting ,3.7,56.2k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +357 other locations
3,Cognizant,IT Services & Consulting ,3.7,53.3k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +211 other locations
4,Capgemini,IT Services & Consulting ,3.7,45k," Work Life Balance, Job Security  "," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +171 other locations
5,HDFC Bank,Banking ,3.9,42.4k," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +1688 other locations
6,Infosys,IT Services & Consulting ,3.6,42k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +227 other locations
7,ICICI Bank,Banking ,4.0,41k," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +1391 other locations
8,HCLTech,IT Services & Consulting ,3.5,38.7k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +216 other locations
9,Tech Mahindra,IT Services & Consulting ,3.5,37.3k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +318 other locations
10,Genpact,IT Services & Consulting ,3.8,34.8k," Job Security, Work Life Balance, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +160 other locations
11,Teleperformance,BPO ,3.9,31.6k," Company Culture, Work Life Balance, Job Security ",, Mumbai +245 other locations
12,Axis Bank,Banking ,3.7,27.4k,  ," Promotions / Appraisal, Work Satisfaction", Mumbai +1412 other locations
13,Concentrix Corporation,BPO ,3.7,27.9k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +150 other locations
14,Amazon,Internet ,4.0,26.7k," Company Culture, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Bangalore / Bengaluru +497 other locations
15,Jio,Telecom ,4.0,24.9k," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Mumbai +1320 other locations
16,Reliance Retail,Retail ,3.9,23.7k," Skill Development / Learning, Job Security  ", Promotions / Appraisal, Mumbai +1086 other locations
17,iEnergizer,BPO ,4.7,24.1k," Skill Development / Learning, Company Culture, Job Security ",, Noida +44 other locations
18,IBM,IT Services & Consulting ,4.0,23.5k," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +245 other locations
19,LTIMindtree,IT Services & Consulting ,3.7,22.3k,  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +133 other locations
20,HDB Financial Services,NBFC ,3.9,21.8k," Company Culture, Job Security, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +1028 other locations
21,Larsen & Toubro Limited,Engineering & Construction ,3.9,19.8k," Job Security, Skill Development / Learning  "," Promotions / Appraisal, Work Life Balance", Chennai +702 other locations
22,Deloitte,Management Consulting ,3.8,19k," Job Security, Skill Development / Learning  "," Work Life Balance, Promotions / Appraisal, Work Satisfaction", Hyderabad / Secunderabad +165 other locations
23,Kotak Mahindra Bank,Banking ,3.7,18.5k,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Mumbai +644 other locations
24,Reliance Industries ,Oil & Gas ,4.0,17.1k," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Jamnagar +760 other locations
25,BYJU'S,EdTech ,3.1,16.3k,  ," Job Security, Company Culture, Work Life Balance", Bangalore / Bengaluru +321 other locations
26,Vodafone Idea,Telecom ,4.0,15.9k," Company Culture, Work Life Balance, Salary & Benefits ",, Pune +682 other locations
27,Bharti Airtel,Telecom ,3.9,14.8k," Skill Development / Learning, Salary & Benefits  ", Promotions / Appraisal, Gurgaon / Gurugram +744 other locations
28,WNS,BPO ,3.3,12.8k,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Pune +56 other locations
29,Tata Motors,Automobile ,4.2,12.7k," Job Security, Company Culture, Work Life Balance ",, Pune +486 other locations
30,AU Small Finance Bank,Banking ,4.2,12.2k," Job Security, Skill Development / Learning, Company Culture ",, Jaipur +721 other locations
31,IndusInd Bank,Banking ,3.5,11.8k,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +746 other locations
32,Flipkart,Internet ,3.9,11.3k, Skill Development / Learning  , Promotions / Appraisal, Bangalore / Bengaluru +542 other locations
33,IDFC FIRST Bank,Banking ,3.9,11.2k, Salary & Benefits ,, Mumbai +649 other locations
34,Ernst & Young,Management Consulting ,3.4,11.6k,  ," Work Life Balance, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +115 other locations
35,DXC Technology,IT Services & Consulting ,3.7,10.6k, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +127 other locations
36,Mahindra & Mahindra,Automobile ,4.1,10.3k," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Pune +527 other locations
37,Bajaj Finserv,Financial Services ,4.0,10.1k," Salary & Benefits, Skill Development / Learning, Job Security ",, Pune +1038 other locations
38,PwC,Management Consulting ,3.4,10.1k,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Bangalore / Bengaluru +120 other locations
39,Infosys BPM ,BPO ,3.6,10.4k, Job Security  ," Salary & Benefits, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +83 other locations
40,HDFC Life,Insurance ,3.9,9.9k," Skill Development / Learning, Company Culture, Work Life Balance ",, Mumbai +621 other locations
41,Conneqt Business Solutions,BPO ,3.6,9.2k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +245 other locations
42,Mphasis,IT Services & Consulting ,3.3,8.9k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +57 other locations
43,Yes Bank,Banking ,3.7,8.4k,  ," Work Satisfaction, Job Security, Promotions / Appraisal", Mumbai +496 other locations
44,Bandhan Bank,Banking ,3.7,8.4k, Job Security  ," Promotions / Appraisal, Work Satisfaction", Kolkata +895 other locations
45,Tata Steel,Iron & Steel ,4.0,8.2k," Job Security, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Jamshedpur +211 other locations
46,Quess,BPO ,3.8,7.9k,  ," Promotions / Appraisal, Job Security", Bangalore / Bengaluru +647 other locations
47,Asian Paints,Chemicals ,4.0,7.9k," Salary & Benefits, Skill Development / Learning, Job Security  "," Work Life Balance, Promotions / Appraisal", Mumbai +498 other locations
48,Paytm,FinTech ,3.2,7.9k,  ," Job Security, Company Culture, Promotions / Appraisal", Noida +373 other locations
49,Startek,Bangalore / Bengaluru +78 other locations,3.1,8.1k,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
50,UltraTech Cement,Building Material ,4.2,7.7k," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +486 other locations
51,Maruti Suzuki,Automobile ,4.2,7.6k," Job Security, Salary & Benefits, Company Culture ",, Gurgaon / Gurugram +407 other locations
52,Samsung,Consumer Electronics & Appliances ,3.9,7.6k, Salary & Benefits  , Promotions / Appraisal, Noida +551 other locations
53,EXL Service,IT Services & Consulting ,3.7,7.5k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Noida +58 other locations
54,Ericsson,Telecom ,4.1,7.5k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Noida +157 other locations
